CustomerID,Name,Age,Annual_Income,Spending_Score,Purchase_Frequency,Membership_Tier,Signup_Date,Satisfaction_Score
1528,Lucas Davis,30,22682.0,90.56473050909688,24.09201725275023,Bronze,2020-01-24T18:16:56.216216216,2.0
1360,Mason Taylor,37,38279.0,73.32085939012215,15.465746066705655,Silver,2022-09-19T12:15:08.108108096,4.0
1448,Lucas Smith,31,28820.0,70.7829293296096,12.77544841342027,Silver,2023-08-18T04:12:15.135135120,3.0
1032,Emma White,38,87592.0,88.75547419850763,21.502217358112663,Silver,2024-11-29T22:14:46.486486464,3.0
1622,Ava Smith,42,113473.0,58.44316318411409,11.241421408406229,Bronze,2023-11-15T17:43:47.027027024,4.0
1591,Ethan Thomas,42,68817.0,75.04464186626294,9.357996388859828,Gold,2022-04-13T11:44:51.891891888,4.0
1906,Emma Miller,39,38681.0,91.53181861476848,22.505287041684365,Silver,2023-03-23T02:54:24.864864864,2.0
1738,Lucas Brown,41,123867.0,82.59059037467652,17.79600548965777,Silver,2022-04-13T11:44:51.891891888,3.0
1077,Olivia Anderson,28,36732.0,84.5333483344922,22.20728953463177,Silver,2024-12-20T00:47:34.054054048,4.0
1949,Emma Miller,24,24258.0,97.39686072682866,28.78941201093486,Bronze,2020-08-25T14:49:22.162162160,5.0
1433,Mason Wilson,30,67900.0,69.58362211232004,14.47374660773474,Bronze,2022-09-08T13:02:42.162162160,4.0
1071,Isabella Davis,32,65059.0,88.94076618673516,21.146441377605896,Silver,2023-06-26T04:02:09.729729728,4.0
1681,Alex Brown,28,74484.0,67.04595836218317,12.840151151309918,Bronze,2023-11-08T10:15:29.729729728,4.0
1102,Lucas Wilson,19,42586.0,92.06313300794744,21.560223343586017,Bronze,2020-10-21T06:43:36.216216216,1.0
1846,Sophia Taylor,25,59955.0,56.95094950647233,7.965930387228356,Silver,2021-04-12T22:10:27.027027024,2.0
1657,Ethan Johnson,37,55903.0,83.14256575924969,17.677659665049934,Silver,2020-10-06T15:47:01.621621620,4.0
1311,Sophia Wilson,29,31478.0,79.7867149742682,19.370988157636432,Bronze,2020-03-23T06:03:14.594594594,4.0
