CustomerID,Name,Age,Annual_Income,Spending_Score,Purchase_Frequency,Membership_Tier,Signup_Date,Satisfaction_Score,Unrelated_Empty_Col,Extra_Null_Col
1528,Lucas Davis,30,"$22,682",90.56473050909688,24.09201725275023,Bronze,2020-01-24T18:16:56.216216216,2.0,,nan
1360,Mason Taylor,37,"$38,279",73.32085939012215,15.465746066705655,Silver,2022-09-19T12:15:08.108108096,4.0,,Active
1448,Lucas Smith,31,"$28,820",70.7829293296096,12.77544841342027,Silver,2023-08-18T04:12:15.135135120,3.0,,Active
1032,Emma White,38,"$87,592",88.75547419850763,21.502217358112663,Silver,2024-11-29T22:14:46.486486464,3.0,,Active
1622,Ava Smith,42,"$113,473",58.44316318411409,11.241421408406229,Bronze,2023-11-15T17:43:47.027027024,4.0,,nan
1591,Ethan Thomas,42,"$68,817",,9.357996388859828,Gold,2022-04-13T11:44:51.891891888,4.0,,Active
1906,Emma Miller,39,"$38,681",91.53181861476847,22.505287041684365,Silver,2023-03-23T02:54:24.864864864,2.0,,Inactive
1738,Lucas Brown,41,"$123,867",82.59059037467652,17.79600548965777,Silver,2022-04-13T11:44:51.891891888,3.0,,nan
1077,Olivia Anderson,28,"$36,732",84.5333483344922,22.20728953463177,Silver,2024-12-20T00:47:34.054054048,4.0,,Active
1949,Emma Miller,24,"$24,258",97.39686072682866,28.78941201093486,Bronze,2020-08-25T14:49:22.162162160,5.0,,nan
1433,Mason Wilson,30,"$67,900",69.58362211232004,14.47374660773474,Bronze,2022-09-08T13:02:42.162162160,4.0,,Active
1071,Isabella Davis,32,"$65,059",88.94076618673516,21.146441377605896,Silver,2023-06-26T04:02:09.729729728,4.0,,nan
1681,Alex Brown,28,"$74,484",67.04595836218317,12.840151151309918,Bronze,2023-11-08T10:15:29.729729728,4.0,,Active
1102,Lucas Wilson,19,"$42,586",92.06313300794743,21.560223343586017,Bronze,2020-10-21T06:43:36.216216216,1.0,,nan
1846,Sophia Taylor,25,"$59,955",56.95094950647233,7.965930387228356,Silver,2021-04-12T22:10:27.027027024,2.0,,nan
1657,Ethan Johnson,37,"$55,903",83.14256575924969,17.677659665049934,Silver,2020-10-06T15:47:01.621621620,,,Active
1311,Sophia Wilson,29,"$31,478",79.7867149742682,19.370988157636432,Bronze,2020-03-23T06:03:14.594594594,4.0,,Active
1345,Liam Johnson,33,"$73,205",83.29056237858897,19.504313247836016,Bronze,2020-01-22T22:24:51.891891891,1.0,,Active
1838,Mason Anderson,38,"$50,107",58.297555475580964,8.716254996982315,Bronze,2022-12-14T10:02:31.351351344,1.0,,nan
1175,Emma Johnson,27,"$34,929",71.8467684541877,13.565744391766419,Bronze,2021-05-13T23:55:40.540540536,,,Active
1097,Ava Smith,21,"$19,849",52.994865446697915,10.601742172253086,Bronze,2022-05-16T09:22:09.729729728,,,Active
1823,Sophia Davis,50,"$43,665",,18.44070645573115,Platinum,2023-07-27T05:47:23.243243232,4.0,,Active
1599,Olivia Johnson,34,"$47,463",89.1868694747924,19.523036270873583,Bronze,2023-11-17T13:35:51.351351344,1.0,,Active
1219,Ava Miller,35,,69.51797601306478,12.778764080667665,Bronze,2021-08-22T12:39:38.378378376,1.0,,Active
1421,Ethan Thomas,49,"$135,621",44.34532439297244,5.493573715629866,Bronze,2024-02-11T11:23:14.594594592,5.0,,nan
1209,Isabella White,33,"$45,203",76.7384883171758,13.76831374201263,Silver,2021-02-20T17:52:25.945945944,4.0,,Active
1775,Mason Brown,29,"$98,092",94.59786590841915,26.534146290961413,Silver,2023-05-24T06:24:51.891891888,5.0,,Inactive
1291,Lucas Anderson,18,"$13,324",77.31059434729389,15.665982087366096,Silver,2024-12-31T00:00:00.000000000,3.0,,Active
1890,Isabella Smith,44,"$195,043",39.31903517600699,5.9288452653241785,Bronze,2020-12-02T07:41:15.675675672,4.0,,nan
1671,Ethan Brown,34,"$41,054",79.4588742072141,16.32619498615029,Silver,2021-06-19T13:17:07.027027024,4.0,,Active
1904,Emma White,32,,61.2916365920656,7.361902914132235,Bronze,2020-04-30T15:16:45.405405404,3.0,,Active
1949,Emma Miller,24,"$24,258",97.39686072682866,28.78941201093486,Bronze,2020-08-25T14:49:22.162162160,5.0,,nan
1868,Emma Davis,60,"$92,842",63.63725361444197,9.514434691234323,Silver,2024-06-05T15:03:47.027027024,4.0,,Active
1330,Alex Miller,39,"$45,010",63.09556022554169,8.04859345016692,Silver,2020-08-31T02:25:35.135135132,5.0,,Inactive
1738,Lucas Brown,41,"$123,867",82.59059037467652,17.79600548965777,Silver,2022-04-13T11:44:51.891891888,3.0,,nan
1763,Isabella Davis,61,"$93,862",74.4558381801077,16.342305902599765,Bronze,2022-07-28T12:05:02.702702704,4.0,,Inactive
1491,Sophia Johnson,27,"$51,619",76.53992047368848,16.25823182238718,Silver,2021-07-20T15:02:20.540540536,4.0,,Active
1351,Ethan Wilson,26,"$148,954",64.02843912603004,13.858745523673987,Silver,2020-05-06T02:52:58.378378378,3.0,,Active
1501,Alex Anderson,44,"$81,110",82.65201464133345,20.00031129481743,Bronze,2023-03-10T07:49:54.594594592,4.0,,nan
1308,Isabella Anderson,57,"$39,878",65.34502458117807,12.128650389075226,Gold,2022-08-04T19:33:20.000000000,,,Active
1854,Ethan White,50,"$97,442",68.36017362430442,14.74162028327256,Bronze,2021-04-23T21:22:52.972972968,4.0,,nan
1352,Emma Wilson,44,"$66,504",88.44631824979594,22.44320282779145,Bronze,2021-08-02T10:06:50.810810808,2.0,,nan
1644,Ethan Miller,36,,60.956171737131434,10.699568019178288,Bronze,2022-06-10T23:31:10.270270272,2.0,,nan
1440,Sophia Brown,49,"$104,943",91.19068428584494,23.05774262007459,Gold,2023-06-02T09:45:13.513513504,5.0,,nan
1820,Ethan Thomas,54,"$123,913",65.37221252984513,11.425794413853062,Bronze,2020-12-24T06:06:07.567567564,5.0,,Active
1834,Mason Davis,33,"$83,363",88.52643363371836,23.43603626194955,Gold,2023-04-08T13:43:03.783783776,5.0,,nan
1519,Sophia Thomas,23,"$152,723",71.61974121676987,15.042230008269478,Silver,2022-07-02T21:56:02.162162160,2.0,,Active
1555,Ethan Johnson,30,"$47,980",82.84478694488047,21.74844149106943,Gold,2024-08-30T12:51:10.270270272,4.0,,Active
